,day_sin,day_cos,month_sin,month_cos,dow_sin,dow_cos,is_weekend,hour_sin,hour_cos,load,temp
2025-11-03 05:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.8660254037844386,0.5000000000000001,42466.75,9.47
2025-11-03 06:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.9659258262890683,0.25881904510252074,47661.0,9.26
2025-11-03 07:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,1.0,6.123233995736766e-17,52096.0,9.41
2025-11-03 08:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.9659258262890683,-0.25881904510252063,53580.75,9.96
2025-11-03 09:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.8660254037844387,-0.49999999999999983,54097.25,11.08
2025-11-03 10:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.7071067811865476,-0.7071067811865475,54030.0,12.28
2025-11-03 11:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.49999999999999994,-0.8660254037844387,53918.75,13.49
2025-11-03 12:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,0.258819045102521,-0.9659258262890682,54231.25,14.62
2025-11-03 13:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,1.2246467991473532e-16,-1.0,53015.5,15.69
2025-11-03 14:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-0.2588190451025208,-0.9659258262890683,52218.25,16.18
2025-11-03 15:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-0.4999999999999998,-0.8660254037844388,50757.75,16.36
2025-11-03 16:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-0.7071067811865471,-0.7071067811865479,49509.0,16.07
2025-11-03 17:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-0.8660254037844384,-0.5000000000000004,50616.0,14.98
2025-11-03 18:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-0.9659258262890683,-0.25881904510252063,54840.75,13.92
2025-11-03 19:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-1.0,-1.8369701987210297e-16,55401.25,13.22
2025-11-03 20:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-0.9659258262890684,0.2588190451025203,51916.5,12.4
2025-11-03 21:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-0.8660254037844386,0.5000000000000001,49343.5,11.92
2025-11-03 22:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-0.7071067811865477,0.7071067811865474,49611.0,11.72
2025-11-03 23:00:00+01:00,0.5712682150947923,0.8207634412072763,-0.5000000000000004,0.8660254037844384,0.0,1.0,0,-0.5000000000000004,0.8660254037844384,49223.0,11.5
